PLAYER,TEAM,GP,PTS,AST,REB,STL,BLK
Jaylen Wells,MEM,69,12.5,1.6,3.2,0.9,0.1
Donte DiVincenzo,MIN,75,12.5,4.0,4.3,1.3,0.4
Deandre Ayton,LAL,66,12.4,0.8,8.3,0.6,1.0
Tre Johnson,WAS,58,12.3,2.0,2.8,0.6,0.3
Josh Hart,NYK,61,12.3,4.9,7.5,1.2,0.3
Noah Clowney,BKN,65,12.3,1.6,4.1,0.8,0.7
Max Christie,DAL,71,12.2,2.0,3.3,0.6,0.3
Moses Moody,GSW,60,12.1,1.6,3.3,1.0,0.6
Donovan Clingan,POR,72,12.1,2.1,11.6,0.6,1.7
Duncan Robinson,DET,72,12.0,2.1,2.7,0.6,0.3
Maxime Raynaud,SAC,68,12.0,1.3,7.3,0.5,0.5
Myles Turner,MIL,68,11.9,1.5,5.3,0.7,1.6
Dyson Daniels,ATL,71,11.8,5.9,6.7,1.9,0.4
Wendell Carter Jr.,ORL,71,11.8,2.0,7.5,0.8,0.6
Nic Claxton,BKN,68,11.7,3.7,7.0,0.7,1.1
Klay Thompson,DAL,65,11.7,1.4,2.1,0.5,0.3
Isaiah Collier,UTA,59,11.7,7.2,2.5,1.1,0.3
Mark Williams,PHX,56,11.6,1.0,8.1,0.9,0.9
Dylan Harper,SAS,62,11.6,3.8,3.4,0.8,0.3
Jarace Walker,IND,73,11.5,2.4,5.1,0.8,0.3
Derik Queen,NOP,75,11.4,3.6,6.8,0.9,0.9
Rui Hachimura,LAL,62,11.2,0.8,3.2,0.5,0.3
Pelle Larsson,MIA,65,11.2,3.3,3.5,0.7,0.2
Sandro Mamukelashvili,TOR,73,11.2,1.8,4.9,0.8,0.5
Julian Champagnie,SAS,75,11.1,1.5,5.8,0.8,0.4
Cam Spencer,MEM,70,11.1,5.5,2.6,0.7,0.2
Rudy Gobert,MIN,72,11.1,1.7,11.5,0.8,1.7
Kyle Filipowski,UTA,73,11.1,2.5,7.0,1.0,0.5
Kel'el Ware,MIA,71,11.0,0.7,9.1,0.8,1.1
Dennis Schröder,CLE,65,10.8,4.8,2.7,0.8,0.2
Isaiah Joe,OKC,67,10.7,1.4,2.6,0.7,0.2
Jock Landale,ATL,67,10.6,1.7,5.8,0.5,0.5
Khris Middleton,DAL,57,10.6,2.9,3.8,0.7,0.2
Tari Eason,HOU,53,10.5,1.6,6.4,1.2,0.5
Ziaire Williams,BKN,55,10.3,1.0,2.4,1.4,0.4
Marvin Bagley III,DAL,56,10.3,1.4,6.1,0.5,0.7
Jalen Smith,CHI,53,10.2,1.2,6.7,0.5,0.8
Bub Carrington,WAS,75,10.2,4.6,3.5,0.6,0.2
Harrison Barnes,SAS,70,10.0,2.0,2.9,0.7,0.2
Isaiah Stewart,DET,55,10.0,1.2,5.1,0.3,1.6
Royce O'Neale,PHX,73,10.0,2.8,4.9,1.1,0.4
Kevin Huerter,DET,64,10.0,2.5,3.5,0.9,0.5
Tristan da Silva,ORL,70,10.0,1.5,3.7,0.9,0.3
